
===================================================
Simulating (simso.schedulers.EDF) on config (config_overhead_2_50_50.xml) 
with sim module (default_simulator).
Chroms: 30, Gen: 100, ESC: 0.1 0.5 0.4, MR: 1.5
Selection: Roulette, MS: False, Crossover: OX2, Keep Elite: False
===================================================


35658365 Task 41_2 CPU 2
35683103 Task 37_1 CPU 1
35781227 Task 19_27 CPU 1
35783491 Task 37_1 CPU 1
35884503 Task 72_14 CPU 1
35897798 Task 37_1 CPU 1
35932393 Task 47_2 CPU 1
35932736 Task 23_6 CPU 1
35967218 Task 47_2 CPU 1
36027251 Task 22_18 CPU 1
36045211 Task 47_2 CPU 1
36205757 Task 8_5 CPU 1
36239977 Task 47_2 CPU 1
36298139 Task 59_9 CPU 1
36312129 Task 47_2 CPU 1
36378309 Task 37_1 CPU 2
36435050 Task 15_8 CPU 1
36801466 Task 91_1 CPU 1
37067073 Task 77_1 CPU 2
37100804 Task 37_1 CPU 1
37134181 Task 9_11 CPU 1
37142336 Task 37_1 CPU 1
37157428 Task 19_28 CPU 1
37159692 Task 37_1 CPU 1
37170095 Task 4_14 CPU 1
37189762 Task 37_1 CPU 1
37269079 Task 21_12 CPU 1
37274952 Task 37_1 CPU 1
37340655 Task 92_12 CPU 1
37341745 Task 3_23 CPU 2
37348954 Task 77_1 CPU 1
37355717 Task 37_1 CPU 2
37399391 Task 6_15 CPU 2
37429749 Task 37_1 CPU 1
37492550 Task 53_6 CPU 2
37914040 Task 49_2 CPU 2
38076975 Task 38_14 CPU 1
38095036 Task 37_1 CPU 1
38146501 Task 22_19 CPU 1
38164461 Task 37_1 CPU 1
38238653 Task 60_4 CPU 1
38254129 Task 27_12 CPU 2
38306976 Task 49_2 CPU 2
38327206 Task 37_1 CPU 1
38372569 Task 42_13 CPU 1
38533629 Task 19_29 CPU 1
38776082 Task 95_12 CPU 2
38838321 Task 12_6 CPU 2
38999576 Task 72_15 CPU 1
39039097 Task 3_24 CPU 2
39249344 Task 67_7 CPU 2
39335881 Task 45_6 CPU 2
39371854 Task 68_8 CPU 2
39487337 Task 59_10 CPU 1
39693980 Task 65_1 CPU 1
39787295 Task 96_6 CPU 2
39909830 Task 19_30 CPU 2
40029333 Task 4_15 CPU 2
40053132 Task 92_13 CPU 2
40070776 Task 6_16 CPU 2
40163788 Task 16_4 CPU 2
40265751 Task 22_20 CPU 1
40283711 Task 65_1 CPU 1
40657177 Task 21_13 CPU 1
40736449 Task 3_25 CPU 1
40756103 Task 61_13 CPU 1
40847599 Task 9_12 CPU 1
41005973 Task 38_15 CPU 1
41214369 Task 20_3 CPU 2
41286031 Task 19_31 CPU 1
41330121 Task 40_6 CPU 1
41570283 Task 42_14 CPU 1
41599113 Task 28_5 CPU 2
41640057 Task 15_9 CPU 1
41675409 Task 98_1 CPU 2
41731777 Task 27_13 CPU 2
41766367 Task 98_1 CPU 1
41871779 Task 81_1 CPU 2
42035602 Task 53_7 CPU 2
42047865 Task 81_1 CPU 2
42083989 Task 34_4 CPU 2
42104134 Task 81_1 CPU 2
42385001 Task 22_21 CPU 1
42433801 Task 3_26 CPU 1
42662232 Task 19_32 CPU 1
42742161 Task 6_17 CPU 1
42853543 Task 67_8 CPU 2
42888571 Task 4_16 CPU 2
43117030 Task 54_1 CPU 1
43119283 Task 23_7 CPU 2
43313673 Task 48_3 CPU 2
43383990 Task 92_14 CPU 1
43392289 Task 54_1 CPU 1
43610859 Task 39_3 CPU 2
43836828 Task 58_8 CPU 1
43851834 Task 54_1 CPU 1
43934971 Task 38_16 CPU 1
43953032 Task 54_1 CPU 1
44038433 Task 19_33 CPU 1
44040697 Task 54_1 CPU 1
44045275 Task 21_14 CPU 1
44051148 Task 54_1 CPU 1
44131153 Task 3_27 CPU 1
44504251 Task 22_22 CPU 1
44561017 Task 9_13 CPU 1
44767997 Task 42_15 CPU 1
45136778 Task 80_1 CPU 1
45200731 Task 92_15 CPU 2
45209425 Task 27_14 CPU 2
45256697 Task 95_13 CPU 1
45262278 Task 8_6 CPU 2
45264967 Task 80_1 CPU 1
45413546 Task 6_18 CPU 1
45414634 Task 19_34 CPU 2
45747809 Task 4_17 CPU 2
45828505 Task 3_28 CPU 1
45908999 Task 1_3 CPU 2
45983975 Task 60_5 CPU 1
46250408 Task 68_9 CPU 2
46605985 Task 12_7 CPU 2
46623501 Task 22_23 CPU 1
46790835 Task 19_35 CPU 2
46834864 Task 63_2 CPU 2
46845064 Task 15_10 CPU 1
46863969 Task 38_17 CPU 2
46882030 Task 63_2 CPU 2
47182494 Task 92_16 CPU 1
47203057 Task 45_7 CPU 1
47303320 Task 64_5 CPU 1
47326162 Task 5_4 CPU 2
47433373 Task 21_15 CPU 1
47482616 Task 61_14 CPU 1
47525857 Task 3_29 CPU 1
47873410 Task 95_14 CPU 1
47965711 Task 42_16 CPU 1
48084931 Task 6_19 CPU 1
48167036 Task 19_36 CPU 2
48274435 Task 9_14 CPU 1
48548949 Task 53_8 CPU 2
48607047 Task 4_18 CPU 2
48610536 Task 31_2 CPU 1
48687073 Task 27_15 CPU 2
48742751 Task 22_24 CPU 2
48788978 Task 68_10 CPU 2
48922356 Task 59_11 CPU 2
49075518 Task 100_3 CPU 2
49191113 Task 72_16 CPU 2
49223209 Task 3_30 CPU 2
49543237 Task 19_37 CPU 2
49596145 Task 40_7 CPU 2
49792967 Task 38_18 CPU 2
50197742 Task 67_9 CPU 2
50305830 Task 23_8 CPU 2
50326067 Task 76_4 CPU 1
50598636 Task 92_17 CPU 1
50642043 Task 58_9 CPU 1
50756316 Task 6_20 CPU 1
